,year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,salary,single,slg %,obp,batting avg,ops,tb,rc,babip,pa,xbh,iso,bb/pa,so/pa,high_paid_y,high_paid_n
66,0,125,434,52,115,11,8,4,29,25,6,27,73,1,1,4,2,7,1400000,92,0.3548387096774194,0.3081896551724138,0.26497695852534564,0.6630283648498332,154,47.43600867678959,0.30919220055710306,468,23,27.027649769585253,0.057692307692307696,0.15598290598290598,0,1
67,0,120,381,34,94,14,1,10,49,0,1,33,61,4,7,0,6,9,1250000,69,0.3674540682414698,0.31381733021077285,0.24671916010498687,0.6812713984522427,140,42.94685990338164,0.26582278481012656,427,25,16.078740157480315,0.07728337236533958,0.14285714285714285,1,0
69,0,127,461,72,116,11,6,1,27,21,9,34,95,0,2,8,4,5,400000,98,0.3080260303687636,0.3033932135728543,0.25162689804772237,0.611419243941618,142,43.03030303030303,0.3116531165311653,509,18,23.00650759219089,0.06679764243614932,0.18664047151277013,1,0
71,0,10,13,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,750000,0,0.0,0.07142857142857142,0.0,0.07142857142857142,0,0.0,0.0,14,0,0.0,0.0,0.14285714285714285,1,0
72,0,157,606,97,173,27,12,3,35,61,12,63,140,1,2,5,2,1,434500,131,0.3844884488448845,0.3536404160475483,0.2854785478547855,0.7381288648924328,233,82.19431988041853,0.3655913978494624,678,42,51.01485148514851,0.09292035398230089,0.20648967551622419,1,0
74,0,22,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,410000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,0,0.0,0.0,0.5,1,0
76,0,124,393,61,101,17,1,12,40,2,3,66,95,4,11,2,1,10,7000000,71,0.3969465648854962,0.37791932059447986,0.25699745547073793,0.774865885479976,156,56.75816993464052,0.31010452961672474,473,30,19.091603053435115,0.13953488372093023,0.20084566596194503,0,1
77,0,116,431,64,108,21,1,31,76,2,0,58,149,6,9,1,6,6,1400000,55,0.5197215777262181,0.3472222222222222,0.2505800464037123,0.8669437999484403,224,76.04089979550102,0.29961089494163423,505,53,23.215777262180975,0.11485148514851486,0.29504950495049503,0,1
78,0,158,635,113,203,39,6,32,114,20,6,57,121,1,13,0,3,6,1032500,126,0.5511811023622047,0.3855932203389831,0.31968503937007875,0.9367743227011878,350,131.5028901734104,0.3525773195876289,708,77,51.1511811023622,0.08050847457627118,0.1709039548022599,1,0
81,0,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0.0,0,1
82,0,101,345,47,77,15,2,22,58,3,3,38,75,2,2,1,1,5,417500,38,0.46956521739130436,0.30310880829015546,0.22318840579710145,0.7726740256814598,162,48.64229765013055,0.22088353413654618,387,39,19.191304347826087,0.09819121447028424,0.1937984496124031,1,0
84,0,72,105,15,18,7,0,0,7,2,0,5,26,0,3,2,3,2,800000,11,0.23809523809523808,0.22413793103448276,0.17142857142857143,0.46223316912972084,25,5.2272727272727275,0.21951219512195122,118,7,7.0,0.0423728813559322,0.22033898305084745,1,0
85,0,59,186,16,46,12,4,8,36,1,1,13,55,0,1,1,1,2,2900000,22,0.4838709677419355,0.29850746268656714,0.24731182795698925,0.7823784304285026,90,26.683417085427134,0.3064516129032258,202,24,20.129032258064516,0.06435643564356436,0.2722772277227723,0,1
86,0,16,21,0,5,2,0,0,6,0,0,0,8,0,0,2,0,1,403000,3,0.3333333333333333,0.23809523809523808,0.23809523809523808,0.5714285714285714,7,1.6666666666666667,0.38461538461538464,23,2,2.0,0.0,0.34782608695652173,1,0
87,0,36,105,11,23,3,0,3,10,1,1,10,20,0,0,0,0,0,410000,17,0.3333333333333333,0.28695652173913044,0.21904761904761905,0.6202898550724638,35,10.043478260869565,0.24390243902439024,115,6,3.085714285714286,0.08695652173913043,0.17391304347826086,1,0
88,0,33,4,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,14000000,0,1.0,0.25,0.25,1.25,4,1.0,0.0,5,1,0.75,0.0,0.2,0,1
90,0,33,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16500000,1,0.2,0.2,0.2,0.4,1,0.2,0.25,5,0,0.0,0.0,0.2,0,1
91,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408500,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0.0,1,0
92,0,122,412,45,91,16,1,14,64,2,0,57,119,2,2,0,5,6,7000000,60,0.36650485436893204,0.31512605042016806,0.220873786407767,0.6816309047891,151,47.650319829424305,0.2711267605633803,476,31,18.101941747572816,0.11974789915966387,0.25,0,1
