,year,team_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,salary,single,slg %,obp,batting avg,ops,tb,rc,babip,pa
71,2009,HOU,10,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,750000,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,14.0
72,2009,HOU,157,606.0,97.0,173.0,27.0,12.0,3.0,35.0,61.0,12.0,63.0,140.0,1.0,2.0,5.0,2.0,1.0,434500,131.0,0.3844884488448845,0.3536404160475483,0.2854785478547855,0.7381288648924328,233.0,82.19431988041853,0.3655913978494624,678.0
73,2009,ATL,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432500,0.0,,,,,0.0,,,0.0
74,2009,OAK,22,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,410000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
75,2009,TBA,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3666666,0.0,,,,,0.0,,,0.0
76,2009,CHN,124,393.0,61.0,101.0,17.0,1.0,12.0,40.0,2.0,3.0,66.0,95.0,4.0,11.0,2.0,1.0,10.0,7000000,71.0,0.3969465648854962,0.37791932059447986,0.25699745547073793,0.774865885479976,156.0,56.75816993464052,0.31010452961672474,473.0
77,2009,SEA,116,431.0,64.0,108.0,21.0,1.0,31.0,76.0,2.0,0.0,58.0,149.0,6.0,9.0,1.0,6.0,6.0,1400000,55.0,0.5197215777262181,0.3472222222222222,0.2505800464037123,0.8669437999484403,224.0,76.04089979550102,0.29961089494163423,505.0
78,2009,MIL,158,635.0,113.0,203.0,39.0,6.0,32.0,114.0,20.0,6.0,57.0,121.0,1.0,13.0,0.0,3.0,6.0,1032500,126.0,0.5511811023622047,0.3855932203389831,0.31968503937007875,0.9367743227011878,350.0,131.5028901734104,0.3525773195876289,708.0
79,2009,MIN,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422000,0.0,,,,,0.0,,,0.0
80,2009,HOU,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000,0.0,,,,,0.0,,,0.0
