"player_id","year","stint","team_id","league_id","g","ab","r","h","double","triple","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","g_idp"
"beckejo02",2009,1,"BOS","AL",32,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
"beckhgo01",2009,1,"CHA","AL",103,378.0,58.0,102.0,28.0,1.0,14.0,63.0,7.0,4.0,41.0,65.0,0.0,6.0,1.0,4.0,10.0
"bedarer01",2009,1,"SEA","AL",15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"beimejo01",2009,1,"WAS","NL",45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"beimejo01",2009,2,"COL","NL",26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"belisma01",2009,1,"COL","NL",24,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0
"belisro01",2009,1,"LAN","NL",69,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
"bellhe01",2009,1,"SDN","NL",68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"belliro01",2009,1,"WAS","NL",86,187.0,26.0,46.0,7.0,1.0,5.0,22.0,2.0,0.0,14.0,40.0,0.0,0.0,1.0,2.0,7.0
"belliro01",2009,2,"LAN","NL",24,77.0,13.0,27.0,7.0,0.0,5.0,17.0,1.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,3.0
"belloed01",2009,1,"COL","NL",2,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
"belltr01",2009,1,"LAA","AL",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"beltrad01",2009,1,"SEA","AL",111,449.0,54.0,119.0,27.0,0.0,8.0,44.0,13.0,2.0,19.0,74.0,1.0,7.0,0.0,2.0,19.0
"beltrca01",2009,1,"NYN","NL",81,308.0,50.0,100.0,22.0,1.0,10.0,48.0,11.0,1.0,47.0,43.0,10.0,1.0,0.0,1.0,9.0
"benneje01",2009,1,"ATL","NL",33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"benneje01",2009,2,"TBA","AL",11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bensokr01",2009,1,"TEX","AL",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bergebr02",2009,1,"BAL","AL",19,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"bergju01",2009,1,"CHN","NL",11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"bergmja01",2009,1,"WAS","NL",56,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"berkeja01",2009,1,"BAL","AL",24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"berkmla01",2009,1,"HOU","NL",136,460.0,73.0,126.0,31.0,1.0,25.0,80.0,7.0,4.0,97.0,98.0,14.0,1.0,0.0,4.0,13.0
"bernaro01",2009,1,"WAS","NL",3,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"berroan01",2009,1,"NYA","AL",21,22.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0
"berroan01",2009,2,"NYN","NL",14,27.0,4.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,0.0,1.0
"betanra01",2009,1,"CLE","AL",29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
